Processo,Código Produto,Ref_Operação,Ref_Data Aceite,CSV_rows_count_for_processo,CSV_rows_sample
140626,RBC-NH3,PSEM - PEDIDO DE VENDA/REV. MANUT. E SERVIÇO,2025-09-29,1,"[{'Código Produto': 'RBC-NH3', 'Descrição Produto': 'CALIBRAÇÃO RBC NH3 (AMÔNIA)', 'Descrição Informada': nan, 'Qtde Solicitada': '0', 'Qtde Atendida': '0', 'Preço Unitário': '370', 'Grupo Estoque 1': 'SERVICOS', 'Motivo Não Venda': nan, 'Situação Pedido': 'ENCERRADO', 'Dt Encerramento': '13/10/2025', 'Operação': 'CTOS - COTAÇÃO ORDEM DE SERVIÇO', 'Série': nan, 'SubLote': nan, 'Processo': '140626', 'Numero NF': nan, 'Etapa': 'COTAÇÃO', 'Status Processo': 'ENCERRADO', 'Dt Entrada': '26/08/2025', 'Status da NF': nan, 'Data Aceite': nan, 'Dt Aprovação': '07/10/2025', 'Dt Emissão': nan, 'Valor Orçado': '370', 'Valor Realizado': '0', 'Prob.Fech.': '100% Perdido', 'UN.Negócio': 'IND - IINDÚSTRIA', 'Consultor Interno': 'ROSILENE', 'Representante-pedido': nan, 'Gerente Comercial-Pedido': 'ROSILENE ALVES DE OLIVEIRA              ', 'Abordagem': 'PASSIVA             ', 'Aplicação Mat./Serv.': 'ASSISTÊNCIA TÉCNICA DETEC.PORTATIL GASES', 'Meio Conhecimento': 'CLIENTE ATIVO                           ', 'Cliente': '12596', 'Nome Cliente': 'FRANGOS PIONEIRO IND. E COMERCIO DE ALIMENTOS LTDA', 'Status Cliente': 'Ativo', 'Atividade Cliente': 'IN2 - ALIMENTOS/BEBIDAS/AGRONEGÓCIOS    ', 'ABC': 'A', 'Class.Comercial': 'PRIVADO             ', 'Cidade': 'JOAQUIM TAVORA', 'UF': 'PR', 'Rota Entrega': nan, 'Cidade Entrega': 'JOAQUIM TAVORA', 'Data Entrega': '07/10/2025', 'Dt Programação': nan, 'Centro Custo-pedido': '3.7.032', 'Conta Contábil-pedido': '3.1.1.01.003', 'Negócio': 'SSO', 'Grupo': 'Diversos Diversos', 'Subgrupo': 'Calibração', 'Tipo de Mercadoria': 'Serviço', 'Utilização': 'Diversos', 'Local': 'Diversos', 'Fabricante': 'Clean'}]"
141210,EC-FX-NH3-LR-BZ,PVMA - PEDIDO DE VENDA MANUTENÇÃO,2025-09-16,1,"[{'Código Produto': 'EC-FX-NH3-LR-BZ', 'Descrição Produto': 'SENSOR DE AMÔNIA PARA DETECTOR FIXO DE GÁS MOD. MANNING.', 'Descrição Informada': 'SENSOR DE AMÔNIA PARA DETECTOR FIXO DE GÁS MOD. MANNING.', 'Qtde Solicitada': '6', 'Qtde Atendida': '0', 'Preço Unitário': '3237.385', 'Grupo Estoque 1': 'CEB', 'Motivo Não Venda': 'PROJETO CANCELADO', 'Situação Pedido': 'ENCERRADO', 'Dt Encerramento': '07/10/2025', 'Operação': 'CTOS - COTAÇÃO ORDEM DE SERVIÇO', 'Série': nan, 'SubLote': nan, 'Processo': '141210', 'Numero NF': nan, 'Etapa': 'COTAÇÃO', 'Status Processo': 'ENCERRADO', 'Dt Entrada': '16/09/2025', 'Status da NF': nan, 'Data Aceite': nan, 'Dt Aprovação': nan, 'Dt Emissão': nan, 'Valor Orçado': '19424.31', 'Valor Realizado': '0', 'Prob.Fech.': '100% Perdido', 'UN.Negócio': 'IND - IINDÚSTRIA', 'Consultor Interno': 'ROSILENE', 'Representante-pedido': nan, 'Gerente Comercial-Pedido': 'ROSILENE ALVES DE OLIVEIRA              ', 'Abordagem': 'PASSIVA             ', 'Aplicação Mat./Serv.': 'ASSISTÊNCIA TÉCNICA DETECÇÃO FIXA GASES', 'Meio Conhecimento': 'CLIENTE ATIVO                           ', 'Cliente': '12189', 'Nome Cliente': 'BRF S.A.', 'Status Cliente': 'Ativo', 'Atividade Cliente': 'IN2 - ALIMENTOS/BEBIDAS/AGRONEGÓCIOS    ', 'ABC': 'B', 'Class.Comercial': 'PRIVADO             ', 'Cidade': 'CHAPECO', 'UF': 'SC', 'Rota Entrega': nan, 'Cidade Entrega': 'CHAPECO', 'Data Entrega': '03/11/2025', 'Dt Programação': nan, 'Centro Custo-pedido': nan, 'Conta Contábil-pedido': '3.1.1.01.002', 'Negócio': 'SSO', 'Grupo': 'Detector Fixo', 'Subgrupo': 'Sensor', 'Tipo de Mercadoria': 'Reposição', 'Utilização': 'Detector', 'Local': 'Fixo', 'Fabricante': 'HON'}]"
